16.85;2022-10-11T17:15:33.461531
16.85;2022-10-11T17:15:38.496890
16.85;2022-10-11T17:15:43.498976
16.85;2022-10-11T17:15:48.501823
16.85;2022-10-11T17:15:53.504676
16.85;2022-10-11T17:15:58.507305
16.85;2022-10-11T17:16:03.509430
16.85;2022-10-11T17:16:08.512096
16.85;2022-10-11T17:16:13.514694
16.85;2022-10-11T17:16:18.516866
16.85;2022-10-11T17:16:23.517996
16.85;2022-10-11T17:16:28.520603
16.85;2022-10-11T17:16:33.522577
16.85;2022-10-11T17:16:38.524378
16.85;2022-10-11T17:16:43.525836
16.85;2022-10-11T17:16:48.526930
16.85;2022-10-11T17:16:53.529491
16.85;2022-10-11T17:16:58.529962
16.85;2022-10-11T17:17:05.793719
16.85;2022-10-11T17:17:08.530944
16.85;2022-10-11T17:17:13.531671
16.85;2022-10-11T17:17:18.531897
16.85;2022-10-11T17:17:23.532375
16.85;2022-10-11T17:17:28.532794
16.85;2022-10-11T17:17:33.532934
16.85;2022-10-11T17:17:38.532937
16.85;2022-10-11T17:17:43.534234
16.85;2022-10-11T17:17:48.534953
16.85;2022-10-11T17:17:53.535177
16.85;2022-10-11T17:17:58.535224
16.85;2022-10-11T17:18:03.535514
16.85;2022-10-11T17:18:08.535656
16.85;2022-10-11T17:18:13.535786
16.85;2022-10-11T17:18:18.537638
